index,date,us,uk,jp,euro,kor,ind,tw,br,gold,kor3y,kor10y,us3y,us10y
2013.0,2022-10-12,1670.300048828125,57625.91015625,114563.5,6826.2001953125,10417.099609375,2202.469970703125,26396.830078125,3331.530029296875,13081.240234375,4.109,4.117,4.314,3.902
2014.0,2022-10-13,1670.0,57235.328125,114300.0,6850.2998046875,10649.150390625,2162.8701171875,26237.419921875,3362.39990234375,12810.73046875,4.203,4.246,4.45,3.95
2015.0,2022-10-14,1641.699951171875,57919.96875,112072.0,6858.7998046875,10321.3896484375,2212.550048828125,27090.759765625,3381.72998046875,13128.1201171875,4.219,4.2,4.501,4.023
2016.0,2022-10-15,1646.7999674479167,58083.639322916664,112589.33333333333,6879.2666015625,10439.5263671875,2214.9366861979165,26985.76953125,3401.699951171875,13074.0966796875,4.2,4.18,4.481,4.019333333333333
2017.0,2022-10-16,1651.8999837239583,58247.309895833336,113106.66666666667,6899.7333984375,10557.6630859375,2217.3233235677085,26880.779296875,3421.669921875,13020.0732421875,4.2,4.18,4.461,4.015666666666666
2018.0,2022-10-17,1657.0,58410.98046875,113624.0,6920.2001953125,10675.7998046875,2219.7099609375,26775.7890625,3441.639892578125,12966.0498046875,4.231,4.2,4.441,4.012
2019.0,2022-10-18,1649.0,58960.6015625,115743.0,6936.7001953125,10772.400390625,2249.949951171875,27156.140625,3463.830078125,13124.6796875,4.236,4.274,4.43,4.007
2020.0,2022-10-19,1627.5,59107.19140625,116274.0,6925.0,10680.509765625,2237.43994140625,27257.380859375,3471.239990234375,12976.759765625,4.323,4.378,4.569,4.138
2021.0,2022-10-20,1630.800048828125,59202.8984375,117171.0,6943.89990234375,10614.83984375,2218.090087890625,27006.9609375,3492.85009765625,12946.099609375,4.319,4.415,4.652,4.233
2022.0,2022-10-21,1651.0,59307.1484375,119929.0,6969.7001953125,10859.7197265625,2213.1201171875,26890.580078125,3476.6298828125,12819.2001953125,4.495,4.655,4.519,4.219
2023.0,2022-10-22,1650.2333170572917,59481.985677083336,118623.66666666667,6984.466796875,10890.683268229166,2220.800048828125,26918.686848958332,3493.6832682291665,12831.793619791666,4.462,4.62,4.523,4.2283333333333335
2024.0,2022-10-23,1649.4666341145833,59656.822916666664,117318.33333333333,6999.2333984375,10921.646809895834,2228.47998046875,26946.793619791668,3510.7366536458335,12844.387044270834,4.462,4.62,4.527,4.237666666666667
2025.0,2022-10-24,1648.699951171875,59831.66015625,116013.0,7014.0,10952.6103515625,2236.159912109375,26974.900390625,3527.7900390625,12856.98046875,4.299,4.485,4.531,4.247
2026.0,2022-10-25,1652.800048828125,59543.9609375,114626.0,7013.5,11199.1201171875,2235.070068359375,27250.279296875,3585.580078125,12666.1201171875,4.238,4.385,4.457,4.1
2027.0,2022-10-26,1664.0,59650.400390625,112764.0,7056.10009765625,10970.990234375,2249.56005859375,27431.83984375,3605.31005859375,12729.0498046875,4.189,4.255,4.386,4.007
2028.0,2022-10-27,1660.699951171875,59756.83984375,114641.0,7073.7001953125,10792.669921875,2288.780029296875,27345.240234375,3604.510009765625,12926.3701171875,4.208,4.27,4.249,3.927
2029.0,2022-10-28,1639.5999755859375,59959.8515625,114539.0,7047.7001953125,11102.4501953125,2268.39990234375,27105.19921875,3613.02001953125,12788.419921875,4.106,4.163,4.366,4.01
2030.0,2022-10-29,1638.3666585286458,60222.09765625,115038.33333333333,7063.300130208333,11064.350260416666,2276.8033040364585,27265.953125,3614.5266927083335,12842.196614583334,4.12,4.175,4.390666666666666,4.023333333333333
2031.0,2022-10-30,1637.1333414713542,60484.34375,115537.66666666667,7078.900065104167,11026.250325520834,2285.2067057291665,27426.70703125,3616.0333658854165,12895.973307291666,4.12,4.175,4.415333333333334,4.036666666666666
